Overriding config with config/train_shakespeare_char.py:
# This is a config file for training a character-level GPT model on the shakespeare dataset

out_dir = 'out-shakespeare-char'
eval_interval = 250 
eval_iters = 200
log_interval = 10 

always_save_checkpoint = False

wandb_log = False 
wandb_project = 'shakespeare-char'
wandb_run_name = 'shakespeare-char_hp'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 16 #64
block_size = 512 #256

n_layer = 12 #6
n_head = 12 #6
n_embd = 384
dropout = 0.2

learning_rate = 1e-2 #1e-3
max_iters = 8000 #5000
lr_decay_iters = 8000 #5000 # make equal to max_iters usually
min_lr = 1e-3 #1e-4 # learning_rate / 10 usually
beta2 = 0.99 

warmup_iters = 200 #100
tokens per iteration will be: 8,192
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 21.32M
/home/ikulkar1/testprojects/gpt2/nanoGPT/train.py:163: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 50, with 21,455,232 parameters
iter 580: loss 2.4732, time 40.41ms, mfu 9.54%
iter 590: loss 2.5048, time 41.87ms, mfu 9.57%
iter 600: loss 2.5046, time 41.11ms, mfu 9.61%
iter 610: loss 2.4790, time 41.41ms, mfu 9.64%
iter 620: loss 2.4576, time 41.30ms, mfu 9.67%
iter 630: loss 2.5018, time 40.89ms, mfu 9.70%
iter 640: loss 2.4948, time 41.22ms, mfu 9.73%
iter 650: loss 2.4759, time 40.99ms, mfu 9.76%
iter 660: loss 2.4703, time 40.95ms, mfu 9.78%
iter 670: loss 2.5089, time 40.51ms, mfu 9.82%
iter 680: loss 2.4803, time 40.46ms, mfu 9.85%
iter 690: loss 2.4859, time 40.89ms, mfu 9.87%
iter 700: loss 2.4987, time 40.35ms, mfu 9.90%
iter 710: loss 2.5234, time 41.79ms, mfu 9.89%
iter 720: loss 2.5133, time 40.95ms, mfu 9.90%
iter 730: loss 2.5129, time 40.93ms, mfu 9.91%
iter 740: loss 2.4699, time 40.55ms, mfu 9.93%
step 750: train loss 2.4773, val loss 2.5021
saving checkpoint to out-shakespeare-char
iter 750: loss 2.4825, time 5455.12ms, mfu 8.95%
iter 760: loss 2.4667, time 41.76ms, mfu 9.04%
iter 770: loss 2.5047, time 40.83ms, mfu 9.14%
iter 780: loss 2.5041, time 40.65ms, mfu 9.23%
iter 790: loss 2.5363, time 41.01ms, mfu 9.31%
iter 800: loss 2.5042, time 41.06ms, mfu 9.38%
iter 810: loss 2.5031, time 40.31ms, mfu 9.46%
iter 820: loss 2.5146, time 41.32ms, mfu 9.50%
iter 830: loss 2.4876, time 41.23ms, mfu 9.55%
iter 840: loss 2.4841, time 41.01ms, mfu 9.59%
iter 850: loss 2.4909, time 40.94ms, mfu 9.64%
iter 860: loss 2.5345, time 40.23ms, mfu 9.69%
iter 870: loss 2.5051, time 40.70ms, mfu 9.73%
iter 880: loss 2.5199, time 40.60ms, mfu 9.77%
iter 890: loss 2.5236, time 40.68ms, mfu 9.80%
iter 900: loss 2.4781, time 41.82ms, mfu 9.80%
iter 910: loss 2.4954, time 40.07ms, mfu 9.84%
iter 920: loss 2.5009, time 40.78ms, mfu 9.87%
iter 930: loss 2.5189, time 41.00ms, mfu 9.88%
iter 940: loss 2.5131, time 40.44ms, mfu 9.91%
iter 950: loss 2.5366, time 40.82ms, mfu 9.92%
iter 960: loss 2.4887, time 40.81ms, mfu 9.93%
iter 970: loss 2.5233, time 40.78ms, mfu 9.95%
iter 980: loss 2.5271, time 40.74ms, mfu 9.96%
iter 990: loss 2.5024, time 40.01ms, mfu 9.99%
step 1000: train loss 2.4950, val loss 2.5157
iter 1000: loss 2.5138, time 5173.11ms, mfu 9.00%
iter 1010: loss 2.4736, time 40.93ms, mfu 9.10%
iter 1020: loss 2.5171, time 41.06ms, mfu 9.19%
iter 1030: loss 2.4859, time 40.71ms, mfu 9.28%
iter 1040: loss 2.5226, time 40.70ms, mfu 9.36%
iter 1050: loss 2.5500, time 40.83ms, mfu 9.43%
iter 1060: loss 2.5323, time 40.25ms, mfu 9.50%
iter 1070: loss 2.5100, time 41.13ms, mfu 9.55%
iter 1080: loss 2.5121, time 40.82ms, mfu 9.60%
iter 1090: loss 2.5518, time 41.43ms, mfu 9.63%
iter 1100: loss 2.5339, time 41.04ms, mfu 9.67%
iter 1110: loss 2.5129, time 40.92ms, mfu 9.70%
iter 1120: loss 2.5138, time 41.38ms, mfu 9.72%
iter 1130: loss 2.5290, time 40.94ms, mfu 9.75%
iter 1140: loss 2.4866, time 39.84ms, mfu 9.81%
iter 1150: loss 2.5089, time 41.11ms, mfu 9.82%
iter 1160: loss 2.5014, time 40.02ms, mfu 9.87%
iter 1170: loss 2.5134, time 40.62ms, mfu 9.89%
iter 1180: loss 2.5128, time 40.83ms, mfu 9.91%
iter 1190: loss 2.4855, time 41.12ms, mfu 9.91%
iter 1200: loss 2.5054, time 40.28ms, mfu 9.94%
iter 1210: loss 2.4626, time 39.95ms, mfu 9.97%
iter 1220: loss 2.4972, time 40.46ms, mfu 9.99%
iter 1230: loss 2.5235, time 41.79ms, mfu 9.97%
iter 1240: loss 2.5098, time 41.37ms, mfu 9.97%
step 1250: train loss 2.5001, val loss 2.5102
iter 1250: loss 2.5543, time 5125.42ms, mfu 8.98%
iter 1260: loss 2.4883, time 41.23ms, mfu 9.07%
iter 1270: loss 2.4845, time 40.11ms, mfu 9.19%
iter 1280: loss 2.4905, time 40.86ms, mfu 9.27%
iter 1290: loss 2.5180, time 41.10ms, mfu 9.35%
iter 1300: loss 2.4993, time 40.30ms, mfu 9.43%
iter 1310: loss 2.5533, time 41.41ms, mfu 9.48%
iter 1320: loss 2.5084, time 41.03ms, mfu 9.53%
iter 1330: loss 2.5087, time 41.46ms, mfu 9.56%
iter 1340: loss 2.4932, time 40.77ms, mfu 9.61%
iter 1350: loss 2.4924, time 40.27ms, mfu 9.67%
iter 1360: loss 2.5286, time 41.23ms, mfu 9.70%
iter 1370: loss 2.4910, time 41.46ms, mfu 9.72%
iter 1380: loss 2.5125, time 41.60ms, mfu 9.73%
iter 1390: loss 2.5244, time 41.81ms, mfu 9.74%
iter 1400: loss 2.5314, time 40.93ms, mfu 9.77%
iter 1410: loss 2.5450, time 41.45ms, mfu 9.78%
iter 1420: loss 2.5474, time 40.83ms, mfu 9.81%
iter 1430: loss 2.5498, time 41.33ms, mfu 9.82%
iter 1440: loss 2.5726, time 41.07ms, mfu 9.84%
iter 1450: loss 2.5398, time 40.14ms, mfu 9.87%
iter 1460: loss 2.5310, time 41.67ms, mfu 9.87%
iter 1470: loss 2.5129, time 41.50ms, mfu 9.87%
iter 1480: loss 2.5186, time 41.17ms, mfu 9.88%
iter 1490: loss 2.5267, time 41.49ms, mfu 9.88%
step 1500: train loss 2.4923, val loss 2.5129
iter 1500: loss 2.5169, time 5164.41ms, mfu 8.90%
iter 1510: loss 2.5265, time 41.10ms, mfu 9.01%
iter 1520: loss 2.5250, time 41.33ms, mfu 9.10%
iter 1530: loss 2.5744, time 40.90ms, mfu 9.19%
iter 1540: loss 2.5076, time 40.68ms, mfu 9.28%
iter 1550: loss 2.5287, time 41.81ms, mfu 9.34%
iter 1560: loss 2.5133, time 40.95ms, mfu 9.40%
iter 1570: loss 2.5565, time 41.52ms, mfu 9.45%
iter 1580: loss 2.5407, time 42.22ms, mfu 9.48%
iter 1590: loss 2.5029, time 40.07ms, mfu 9.55%
iter 1600: loss 2.5106, time 40.94ms, mfu 9.60%
iter 1610: loss 2.5188, time 41.40ms, mfu 9.63%
iter 1620: loss 2.5454, time 41.30ms, mfu 9.66%
iter 1630: loss 2.5416, time 40.78ms, mfu 9.70%
iter 1640: loss 2.5216, time 41.58ms, mfu 9.72%
iter 1650: loss 2.5196, time 41.24ms, mfu 9.74%
iter 1660: loss 2.5372, time 40.44ms, mfu 9.78%
iter 1670: loss 2.4834, time 40.89ms, mfu 9.81%
iter 1680: loss 2.5162, time 40.77ms, mfu 9.83%
iter 1690: loss 2.5220, time 40.22ms, mfu 9.87%
iter 1700: loss 2.5199, time 41.08ms, mfu 9.88%
iter 1710: loss 2.5313, time 40.92ms, mfu 9.89%
iter 1720: loss 2.5275, time 41.58ms, mfu 9.89%
iter 1730: loss 2.5535, time 41.35ms, mfu 9.89%
iter 1740: loss 2.5590, time 41.12ms, mfu 9.90%
step 1750: train loss 2.5048, val loss 2.5233
iter 1750: loss 2.5553, time 5184.81ms, mfu 8.92%
iter 1760: loss 2.5695, time 41.78ms, mfu 9.01%
iter 1770: loss 2.5741, time 41.46ms, mfu 9.10%
iter 1780: loss 2.5740, time 40.62ms, mfu 9.20%
iter 1790: loss 2.5713, time 41.57ms, mfu 9.27%
iter 1800: loss 2.5609, time 41.08ms, mfu 9.34%
iter 1810: loss 2.5552, time 41.14ms, mfu 9.40%
iter 1820: loss 2.5521, time 40.83ms, mfu 9.47%
iter 1830: loss 2.5463, time 41.41ms, mfu 9.51%
iter 1840: loss 2.5636, time 41.51ms, mfu 9.55%
iter 1850: loss 2.5581, time 40.65ms, mfu 9.60%
iter 1860: loss 2.5619, time 41.23ms, mfu 9.64%
iter 1870: loss 2.5490, time 41.29ms, mfu 9.67%
iter 1880: loss 2.4790, time 40.31ms, mfu 9.72%
iter 1890: loss 2.4991, time 41.87ms, mfu 9.72%
iter 1900: loss 2.4930, time 40.76ms, mfu 9.76%
iter 1910: loss 2.5252, time 41.13ms, mfu 9.78%
iter 1920: loss 2.5356, time 40.56ms, mfu 9.81%
iter 1930: loss 2.5195, time 40.89ms, mfu 9.84%
iter 1940: loss 2.5081, time 41.70ms, mfu 9.84%
iter 1950: loss 2.5390, time 40.33ms, mfu 9.87%
iter 1960: loss 2.5912, time 41.81ms, mfu 9.86%
iter 1970: loss 2.5211, time 40.43ms, mfu 9.89%
iter 1980: loss 2.5284, time 39.51ms, mfu 9.94%
iter 1990: loss 2.5224, time 40.61ms, mfu 9.96%
step 2000: train loss 2.4913, val loss 2.5056
iter 2000: loss 2.5319, time 5281.21ms, mfu 8.97%
iter 2010: loss 2.5613, time 41.08ms, mfu 9.07%
iter 2020: loss 2.5402, time 41.44ms, mfu 9.15%
iter 2030: loss 2.5351, time 41.20ms, mfu 9.23%
iter 2040: loss 2.5511, time 40.54ms, mfu 9.32%
iter 2050: loss 2.5375, time 41.21ms, mfu 9.39%
iter 2060: loss 2.5014, time 41.70ms, mfu 9.43%
iter 2070: loss 2.4908, time 38.46ms, mfu 9.55%
iter 2080: loss 2.4687, time 40.46ms, mfu 9.61%
iter 2090: loss 2.5011, time 41.20ms, mfu 9.65%
iter 2100: loss 2.5062, time 43.10ms, mfu 9.63%
iter 2110: loss 2.4869, time 46.52ms, mfu 9.55%
iter 2120: loss 2.5126, time 48.32ms, mfu 9.45%
iter 2130: loss 2.4997, time 48.23ms, mfu 9.35%
iter 2140: loss 2.5115, time 48.28ms, mfu 9.27%
iter 2150: loss 2.5302, time 48.32ms, mfu 9.19%
iter 2160: loss 2.5226, time 47.73ms, mfu 9.13%
iter 2170: loss 2.5300, time 48.06ms, mfu 9.07%
iter 2180: loss 2.5355, time 48.27ms, mfu 9.01%
iter 2190: loss 2.5090, time 48.33ms, mfu 8.96%
iter 2200: loss 2.5269, time 50.13ms, mfu 8.88%
iter 2210: loss 2.4928, time 50.48ms, mfu 8.81%
iter 2220: loss 2.5146, time 48.12ms, mfu 8.78%
iter 2230: loss 2.4981, time 48.40ms, mfu 8.75%
iter 2240: loss 2.5501, time 51.90ms, mfu 8.66%
step 2250: train loss 2.4827, val loss 2.5025
iter 2250: loss 2.5049, time 5250.47ms, mfu 7.81%
iter 2260: loss 2.5135, time 41.22ms, mfu 8.02%
iter 2270: loss 2.4841, time 41.24ms, mfu 8.21%
iter 2280: loss 2.5216, time 41.25ms, mfu 8.39%
iter 2290: loss 2.5067, time 41.56ms, mfu 8.53%
iter 2300: loss 2.4986, time 40.66ms, mfu 8.69%
iter 2310: loss 2.4970, time 39.16ms, mfu 8.87%
iter 2320: loss 2.5318, time 40.49ms, mfu 8.99%
iter 2330: loss 2.5015, time 43.50ms, mfu 9.04%
iter 2340: loss 2.5121, time 43.12ms, mfu 9.09%
iter 2350: loss 2.5869, time 46.22ms, mfu 9.06%
iter 2360: loss 2.5536, time 47.17ms, mfu 9.03%
iter 2370: loss 2.5943, time 48.04ms, mfu 8.98%
iter 2380: loss 2.5714, time 48.17ms, mfu 8.93%
iter 2390: loss 2.5356, time 48.14ms, mfu 8.89%
iter 2400: loss 2.5336, time 48.09ms, mfu 8.86%
iter 2410: loss 2.5766, time 48.35ms, mfu 8.82%
iter 2420: loss 2.5440, time 48.20ms, mfu 8.79%
iter 2430: loss 2.5603, time 48.26ms, mfu 8.76%
iter 2440: loss 2.5418, time 50.40ms, mfu 8.70%
iter 2450: loss 2.5741, time 50.51ms, mfu 8.64%
iter 2460: loss 2.5460, time 50.32ms, mfu 8.59%
iter 2470: loss 2.5669, time 48.48ms, mfu 8.58%
iter 2480: loss 2.5396, time 48.11ms, mfu 8.57%
iter 2490: loss 2.5270, time 48.43ms, mfu 8.56%
step 2500: train loss 2.4855, val loss 2.4978
saving checkpoint to out-shakespeare-char
iter 2500: loss 2.5288, time 5531.39ms, mfu 7.71%
iter 2510: loss 2.4940, time 40.88ms, mfu 7.95%
iter 2520: loss 2.4963, time 40.82ms, mfu 8.16%
iter 2530: loss 2.4805, time 41.32ms, mfu 8.33%
iter 2540: loss 2.5501, time 41.24ms, mfu 8.49%
iter 2550: loss 2.5328, time 41.20ms, mfu 8.64%
iter 2560: loss 2.5222, time 40.19ms, mfu 8.80%
iter 2570: loss 2.5169, time 39.03ms, mfu 8.97%
iter 2580: loss 2.5231, time 40.58ms, mfu 9.08%
iter 2590: loss 2.5411, time 40.62ms, mfu 9.18%
iter 2600: loss 2.5178, time 41.73ms, mfu 9.25%
iter 2610: loss 2.5216, time 42.91ms, mfu 9.28%
iter 2620: loss 2.5240, time 46.37ms, mfu 9.24%
iter 2630: loss 2.5416, time 48.35ms, mfu 9.16%
iter 2640: loss 2.5224, time 46.28ms, mfu 9.13%
iter 2650: loss 2.5367, time 47.11ms, mfu 9.09%
iter 2660: loss 2.5423, time 47.95ms, mfu 9.04%
iter 2670: loss 2.5522, time 47.99ms, mfu 8.99%
iter 2680: loss 2.5717, time 47.59ms, mfu 8.95%
iter 2690: loss 2.5411, time 47.68ms, mfu 8.92%
iter 2700: loss 2.5725, time 47.65ms, mfu 8.88%
iter 2710: loss 2.5219, time 50.29ms, mfu 8.81%
iter 2720: loss 2.5717, time 47.64ms, mfu 8.79%
iter 2730: loss 2.5539, time 47.55ms, mfu 8.78%
iter 2740: loss 2.5839, time 47.72ms, mfu 8.76%
step 2750: train loss 2.5048, val loss 2.5212
iter 2750: loss 2.5400, time 5144.56ms, mfu 7.89%
iter 2760: loss 2.5370, time 41.50ms, mfu 8.09%
iter 2770: loss 2.5290, time 43.42ms, mfu 8.22%
iter 2780: loss 2.5625, time 41.29ms, mfu 8.40%
iter 2790: loss 2.5163, time 41.28ms, mfu 8.55%
iter 2800: loss 2.5450, time 41.16ms, mfu 8.69%
iter 2810: loss 2.5755, time 40.46ms, mfu 8.84%
iter 2820: loss 2.5553, time 40.68ms, mfu 8.96%
iter 2830: loss 2.5595, time 41.03ms, mfu 9.06%
iter 2840: loss 2.5336, time 41.36ms, mfu 9.15%
iter 2850: loss 2.5227, time 40.93ms, mfu 9.24%
iter 2860: loss 2.5547, time 40.47ms, mfu 9.33%
iter 2870: loss 2.5709, time 41.17ms, mfu 9.39%
iter 2880: loss 2.5817, time 41.30ms, mfu 9.45%
iter 2890: loss 2.5684, time 41.38ms, mfu 9.49%
iter 2900: loss 2.5974, time 41.05ms, mfu 9.54%
iter 2910: loss 2.5533, time 40.72ms, mfu 9.59%
iter 2920: loss 2.5780, time 41.77ms, mfu 9.62%
iter 2930: loss 2.6020, time 40.59ms, mfu 9.67%
iter 2940: loss 2.5684, time 41.86ms, mfu 9.68%
iter 2950: loss 2.5593, time 40.55ms, mfu 9.72%
iter 2960: loss 2.5443, time 40.27ms, mfu 9.77%
iter 2970: loss 2.5718, time 40.87ms, mfu 9.80%
iter 2980: loss 2.5630, time 41.71ms, mfu 9.80%
iter 2990: loss 2.5095, time 41.11ms, mfu 9.82%
step 3000: train loss 2.4966, val loss 2.5124
iter 3000: loss 2.5333, time 5182.00ms, mfu 8.84%
iter 3010: loss 2.5409, time 41.52ms, mfu 8.95%
iter 3020: loss 2.5320, time 40.53ms, mfu 9.06%
iter 3030: loss 2.5456, time 41.66ms, mfu 9.14%
iter 3040: loss 2.5317, time 40.50ms, mfu 9.24%
iter 3050: loss 2.5179, time 40.94ms, mfu 9.32%
iter 3060: loss 2.5405, time 41.18ms, mfu 9.38%
iter 3070: loss 2.5450, time 41.45ms, mfu 9.43%
iter 3080: loss 2.5218, time 41.65ms, mfu 9.48%
iter 3090: loss 2.5288, time 40.62ms, mfu 9.54%
iter 3100: loss 2.5421, time 40.99ms, mfu 9.59%
iter 3110: loss 2.5543, time 41.52ms, mfu 9.61%
iter 3120: loss 2.5016, time 40.71ms, mfu 9.66%
iter 3130: loss 2.5636, time 40.73ms, mfu 9.70%
iter 3140: loss 2.5730, time 40.33ms, mfu 9.75%
iter 3150: loss 2.5572, time 41.74ms, mfu 9.76%
iter 3160: loss 2.5202, time 41.42ms, mfu 9.77%
iter 3170: loss 2.5409, time 40.32ms, mfu 9.81%
iter 3180: loss 2.5498, time 40.60ms, mfu 9.84%
iter 3190: loss 2.5163, time 41.87ms, mfu 9.84%
iter 3200: loss 2.5312, time 40.58ms, mfu 9.86%
iter 3210: loss 2.5522, time 40.72ms, mfu 9.88%
iter 3220: loss 2.5334, time 41.29ms, mfu 9.89%
iter 3230: loss 2.5257, time 41.75ms, mfu 9.88%
iter 3240: loss 2.5282, time 40.34ms, mfu 9.91%
step 3250: train loss 2.4984, val loss 2.5086
iter 3250: loss 2.5564, time 5183.62ms, mfu 8.93%
iter 3260: loss 2.5378, time 41.95ms, mfu 9.01%
iter 3270: loss 2.5692, time 40.80ms, mfu 9.12%
iter 3280: loss 2.5746, time 41.34ms, mfu 9.20%
iter 3290: loss 2.5317, time 41.11ms, mfu 9.28%
iter 3300: loss 2.5570, time 40.71ms, mfu 9.36%
iter 3310: loss 2.5712, time 40.68ms, mfu 9.43%
iter 3320: loss 2.5673, time 41.35ms, mfu 9.48%
iter 3330: loss 2.5463, time 41.24ms, mfu 9.52%
iter 3340: loss 2.5462, time 41.57ms, mfu 9.56%
iter 3350: loss 2.5376, time 40.42ms, mfu 9.62%
iter 3360: loss 2.5255, time 41.07ms, mfu 9.66%
iter 3370: loss 2.5507, time 41.28ms, mfu 9.68%
iter 3380: loss 2.5454, time 40.59ms, mfu 9.73%
iter 3390: loss 2.5369, time 41.19ms, mfu 9.75%
iter 3400: loss 2.5488, time 41.99ms, mfu 9.75%
iter 3410: loss 2.5594, time 41.30ms, mfu 9.77%
iter 3420: loss 2.5340, time 41.41ms, mfu 9.78%
iter 3430: loss 2.5507, time 40.25ms, mfu 9.82%
iter 3440: loss 2.5410, time 41.03ms, mfu 9.84%
iter 3450: loss 2.5662, time 40.90ms, mfu 9.86%
iter 3460: loss 2.5581, time 41.01ms, mfu 9.87%
iter 3470: loss 2.5231, time 40.59ms, mfu 9.90%
iter 3480: loss 2.5362, time 41.23ms, mfu 9.90%
iter 3490: loss 2.5484, time 41.23ms, mfu 9.91%
step 3500: train loss 2.5082, val loss 2.5187
iter 3500: loss 2.5577, time 5174.06ms, mfu 8.92%
iter 3510: loss 2.5582, time 41.11ms, mfu 9.03%
iter 3520: loss 2.5856, time 41.16ms, mfu 9.12%
iter 3530: loss 2.5392, time 41.53ms, mfu 9.20%
iter 3540: loss 2.5393, time 40.77ms, mfu 9.29%
iter 3550: loss 2.5142, time 41.32ms, mfu 9.35%
iter 3560: loss 2.6111, time 41.86ms, mfu 9.39%
iter 3570: loss 2.5522, time 41.17ms, mfu 9.45%
iter 3580: loss 2.5617, time 40.85ms, mfu 9.51%
iter 3590: loss 2.5401, time 40.65ms, mfu 9.57%
iter 3600: loss 2.5682, time 41.00ms, mfu 9.61%
iter 3610: loss 2.5201, time 41.15ms, mfu 9.65%
iter 3620: loss 2.5339, time 35.14ms, mfu 9.85%
iter 3630: loss 2.5481, time 41.09ms, mfu 9.86%
iter 3640: loss 2.5425, time 41.38ms, mfu 9.87%
iter 3650: loss 2.5499, time 41.14ms, mfu 9.88%
iter 3660: loss 2.5423, time 41.16ms, mfu 9.89%
iter 3670: loss 2.5411, time 41.56ms, mfu 9.89%
iter 3680: loss 2.5753, time 41.02ms, mfu 9.90%
iter 3690: loss 2.5419, time 39.99ms, mfu 9.93%
iter 3700: loss 2.5302, time 41.26ms, mfu 9.93%
iter 3710: loss 2.5534, time 40.02ms, mfu 9.97%
iter 3720: loss 2.5418, time 40.98ms, mfu 9.97%
iter 3730: loss 2.5790, time 41.02ms, mfu 9.97%
iter 3740: loss 2.5460, time 40.67ms, mfu 9.98%
step 3750: train loss 2.5025, val loss 2.5097
iter 3750: loss 2.5313, time 5191.20ms, mfu 8.99%
iter 3760: loss 2.5453, time 41.56ms, mfu 9.08%
iter 3770: loss 2.5508, time 41.70ms, mfu 9.16%
iter 3780: loss 2.5289, time 41.80ms, mfu 9.22%
iter 3790: loss 2.5771, time 41.44ms, mfu 9.29%
iter 3800: loss 2.5811, time 41.57ms, mfu 9.35%
iter 3810: loss 2.5491, time 40.68ms, mfu 9.42%
iter 3820: loss 2.5797, time 40.57ms, mfu 9.49%
iter 3830: loss 2.6100, time 40.30ms, mfu 9.56%
iter 3840: loss 2.5809, time 41.19ms, mfu 9.60%
iter 3850: loss 2.6079, time 41.48ms, mfu 9.63%
iter 3860: loss 2.5674, time 41.44ms, mfu 9.66%
iter 3870: loss 2.5482, time 41.31ms, mfu 9.68%
iter 3880: loss 2.5556, time 41.58ms, mfu 9.70%
iter 3890: loss 2.5757, time 41.09ms, mfu 9.73%
iter 3900: loss 2.5610, time 41.59ms, mfu 9.74%
iter 3910: loss 2.5676, time 41.36ms, mfu 9.76%
iter 3920: loss 2.5807, time 41.00ms, mfu 9.78%
iter 3930: loss 2.5577, time 41.49ms, mfu 9.79%
iter 3940: loss 2.5725, time 41.48ms, mfu 9.80%
iter 3950: loss 2.5595, time 41.62ms, mfu 9.81%
iter 3960: loss 2.5631, time 41.01ms, mfu 9.83%
iter 3970: loss 2.5487, time 40.29ms, mfu 9.86%
iter 3980: loss 2.5471, time 41.52ms, mfu 9.87%
iter 3990: loss 2.5323, time 41.24ms, mfu 9.87%
step 4000: train loss 2.4976, val loss 2.5117
